Cell Identity,Time Point,Embryo Name,Volume,Children Volume Difference,Volume Difference to Previous TP,Volume Divergence of Cell,Error Percentage,Unknown5,Is_dead
Z3,214,CD200113plc1p2,3.038472,,0.940861684,0.976170875,,,
Z3,216,CD200113plc1p2,3.545856,,,0.972191731,,,
Z3,217,CD200113plc1p2,4.274856,,0.836214753,0.966474571,,,
Eplap,237,CD200113plc1p2,2.187,0.459008367,0.976739093,0.979619565,,,
Eplpp,198,CD200113plc1p2,2.356128,,1.054899679,0.981654708,,,
ABalapaap,97,CD200113plc1p2,3.14928,,0.980530018,0.953683849,,,
MSaappa,121,CD200113plc1p2,2.589408,,0.748201468,0.925715242,,,
MSpaapp,126,CD200113plc1p2,2.344464,,1.12138477,0.830272324,,,1
MSpaapp,128,CD200113plc1p2,2.396952,,,0.826472451,,,1
MSpaapp,129,CD200113plc1p2,2.210328,,,0.839983112,,,1
MSpaapp,130,CD200113plc1p2,2.326968,,,0.831538949,,,1
MSpaapp,131,CD200113plc1p2,2.385288,,,0.827316867,,,1
MSpaapp,132,CD200113plc1p2,2.192832,,,0.841249736,,,1
MSpaapp,133,CD200113plc1p2,2.280312,,,0.834916614,,,1
MSpaapp,134,CD200113plc1p2,2.082024,,,0.849271691,,,1
MSpaapp,135,CD200113plc1p2,2.146176,,,0.844627401,,,1
MSpaapp,136,CD200113plc1p2,2.105352,,,0.847582858,,,1
MSpaapp,137,CD200113plc1p2,2.192832,,,0.841249736,,,1
MSpaapp,138,CD200113plc1p2,2.513592,,,0.818028288,,,1
MSpaapp,139,CD200113plc1p2,2.286144,,,0.834494406,,,1
MSpaapp,140,CD200113plc1p2,2.548584,,,0.815495039,,,1
MSpaapp,141,CD200113plc1p2,2.39112,,,0.826894659,,,1
MSpaapp,142,CD200113plc1p2,2.350296,,,0.829850116,,,1
MSpaapp,143,CD200113plc1p2,2.146176,,0.73421997,0.844627401,,,1
MSpaapp,145,CD200113plc1p2,3.435048,,0.74350855,0.7513194,,,1
MSpaapp,147,CD200113plc1p2,2.163672,,,0.843360777,,,1
MSpaapp,148,CD200113plc1p2,2.181168,,,0.842094152,,,1
MSpaapp,149,CD200113plc1p2,2.437776,,,0.823516994,,,1
MSpaapp,150,CD200113plc1p2,2.239488,,,0.837872071,,,1
