Time Point,Cell Name,Label,Children Volume Difference,Volume Difference to Previous TP,Volume Divergence of Cell
1,AB,1,,,0.00819485
1,P1,1209,,,0.006022179
2,AB,1,,0.005798806,0.002396044
2,P1,1209,,0.0077634309999999995,0.0017412520000000002
3,AB,1,,0.004792088,0.002396044
3,P1,1209,,0.003429228,0.001687977
4,AB,1,,0.002401075,0.00479712
4,P1,1209,,0.008234494,0.006546517
5,ABa,2,0.005405654,,0.11101667
5,ABp,449,0.005405654,,0.111064719
5,P1,1209,,0.004858541,0.001687977
6,ABa,2,0.001818655,0.113246061,0.0022293910000000003
6,ABp,449,0.001818655,0.125617898,0.014553179
6,P1,1209,,0.009480148,0.007792171
7,ABa,2,0.0036298840000000003,0.0028203020000000002,0.000590911
7,ABp,449,0.0036298840000000003,0.006675471,0.007877707
7,EMS,1009,0.011844577,,0.007055407
7,P2,1210,0.011844577,,0.01182142
8,ABa,2,0.010728653000000001,0.004851147,0.004260236
8,ABp,449,0.010728653000000001,0.009558667,0.0016809589999999999
8,EMS,1009,0.007527198000000001,0.013017111999999999,0.005961705
8,P2,1210,0.007527198000000001,0.008001767,0.0038196529999999997
9,ABa,2,0.010380782,0.003080303,0.001179932
9,ABp,449,0.010380782,0.00249923,0.004180189
9,EMS,1009,0.004767413,0.008841266,0.014802971000000002
9,P2,1210,0.004767413,0.005859793,0.00204014
10,ABa,2,0.005393675,0.002131063,0.000951131
10,ABp,449,0.005393675,0.008048468000000001,0.003868279
10,EMS,1009,0.015523357,0.018541095,0.0037381240000000002
10,P2,1210,0.015523357,5.520000000000001e-05,0.001984908
11,ABa,2,0.007753543000000001,0.000951131,0.0
11,ABp,449,0.007753543000000001,0.003868279,0.0
11,EMS,1009,0.018285947,0.006138964,0.009877088000000001
11,P2,1210,0.018285947,0.001984908,0.0
12,ABa,2,0.0017721770000000002,0.007056901,0.007056901
12,ABp,449,0.0017721770000000002,0.004954043,0.004954043
12,EMS,1009,0.026277197999999998,0.013538038,0.023415126
12,P2,1210,0.026277197999999998,0.00029859900000000003,0.00029859900000000003
13,ABa,2,0.009528355,0.009776985,0.0027200840000000002
13,ABp,449,0.009528355,0.005770339,0.000816297
13,EMS,1009,0.01194622,0.020618768,0.002796358
13,P2,1210,0.01194622,0.005773493,0.005474894
14,ABal,3,0.017495708000000002,,0.08914647199999999
14,ABar,250,0.017495708000000002,,0.038237362000000004
14,ABpl,450,0.006496814,,0.022141382
14,ABpr,657,0.006496814,,0.046362327
14,EMS,1009,0.010854083,0.005592716,0.002796358
14,P2,1210,0.010854083,0.005316101,0.00015879299999999998
15,ABal,3,0.021722852,0.054850147,0.034296325
15,ABar,250,0.021722852,0.039875789,0.001638428
15,ABpl,450,0.016490773,0.032192405,0.010051022
15,ABpr,657,0.016490773,0.055536199999999994,0.009173873
15,EMS,1009,0.00686056,0.032614528,0.035410886
15,P2,1210,0.00686056,0.003065388,0.002906595
16,ABal,3,0.024794646,0.039133013,0.004836688
16,ABar,250,0.024794646,0.028340372000000003,0.0299788
16,ABpl,450,0.007763209,0.006172396,0.016223418
16,ABpr,657,0.007763209,0.011781162,0.002607289
16,EMS,1009,0.007715764,0.015985906,0.01942498
16,P2,1210,0.007715764,0.013008913,0.015915508999999998
17,ABal,3,0.027305784,0.016783308,0.021619996000000002
17,ABar,250,0.027305784,0.009825031,0.039803831
17,ABpl,450,0.00596479,0.009180905,0.007042513
17,ABpr,657,0.00596479,0.013621969,0.016229258
17,E,1008,0.015346806999999999,,0.027302666
17,MS,1042,0.015346806999999999,,0.01711179
17,P2,1210,,0.021777027999999997,0.005861519
18,ABal,3,0.034023266,0.00935794,0.012262056
18,ABar,250,0.034023266,0.021319857,0.018483975
18,ABpl,450,0.022189057,0.013282887,0.006240374
18,ABpr,657,0.022189057,0.019963912,0.0037346529999999997
18,E,1008,0.028210777000000003,0.048360186,0.02105752
18,MS,1042,0.028210777000000003,0.016307866,0.0008039239999999999
18,P2,1210,,0.001356641,0.0045048779999999995
19,ABal,3,0.027444766000000002,0.025430465,0.013168408999999999
19,ABar,250,0.027444766000000002,0.009474467,0.009009508000000001
19,ABpl,450,0.02132933,0.001250794,0.007491168
19,ABpr,657,0.02132933,0.0031512109999999997,0.000583442
19,E,1008,0.011939085,0.028875861000000003,0.00781834
19,MS,1042,0.011939085,0.005535285,0.004731361
19,P2,1210,,0.004592904,8.8e-05
20,ABal,3,0.047224700999999994,0.017618162,0.004449753
20,ABar,250,0.047224700999999994,0.023142792000000002,0.014133285
20,ABpl,450,0.028336452,0.002577335,0.004913833
20,ABpr,657,0.028336452,0.017526143,0.018109585
20,C,878,0.003935295,,0.026757685
20,E,1008,0.013867233999999999,0.004660043,0.003158297
20,MS,1042,0.013867233999999999,0.000347295,0.005078656
20,P3,1211,0.003935295,,0.000939536
21,ABal,3,0.03949747,0.008899506,0.004449753
21,ABar,250,0.03949747,0.007271446,0.006861839000000001
21,ABpl,450,0.021516871,0.004035947,0.00894978
21,ABpr,657,0.021516871,0.018693027,0.000583442
21,C,878,0.017669131,0.018290618999999998,0.008467066
21,E,1008,0.018539889,0.00398525,0.0008269530000000001
21,MS,1042,0.018539889,0.005078656,0.0
